run_index,temperature,tags,summary,latency_ms,reviewer_approved,finalizer_notes,started_at
1,0.7,"[""data pipelines"", ""machine learning"", ""pipeline design""]","This course focuses on designing and operating data pipelines for machine learning systems, including schema design, ingestion, feature stores, versioning, and monitoring, and builds a",16409.7,True,"[""truncated summary from 30 to 25 words""]",2026-08-30T17:10:18
2,0.7,"[""machine learning"", ""data systems"", ""pipeline design""]","This course focuses on the design and operation of data pipelines for machine learning systems, including schema design, ingestion, feature stores, versioning, and monitoring.",7539.6,True,[],2026-08-30T17:10:35
3,0.7,"[""Machine Learning"", ""Data Systems"", ""Pipeline Design""]","This course focuses on designing and implementing data pipelines for machine learning systems, including schema design, ingestion, feature stores, versioning, and monitoring.",7532.1,True,[],2026-08-30T17:10:43
4,0.7,"[""Machine Learning"", ""Data Pipelines"", ""Data Systems""]","This course focuses on the design and operation of data pipelines for machine learning systems, including schema design, batch and streaming ingestion, feature stores, data",7945.1,True,"[""truncated summary from 28 to 25 words""]",2026-08-30T17:10:51
5,0.7,"[""data systems"", ""machine learning pipelines"", ""data ingestion""]","This course focuses on designing and operating data pipelines for machine learning, covering schema design, batch and streaming ingestion, feature stores, and monitoring data drift.",7887.0,True,[],2026-08-30T17:10:59
6,0.7,"[""data pipelines"", ""machine learning"", ""schema design""]","This course focuses on designing and operating data pipelines for machine learning, including schema design, batch and streaming ingestion, and monitoring for data drift.",7325.2,True,[],2026-08-30T17:11:08
7,0.7,"[""machine learning"", ""data systems"", ""pipeline design""]","This course focuses on the design and operation of data pipelines for machine learning systems, including schema design, batch and streaming ingestion, feature stores, versioning,",8102.3,True,"[""truncated summary from 27 to 25 words""]",2026-08-30T17:11:16
8,0.7,"[""data pipelines"", ""machine learning"", ""data ingestion""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, batch and streaming ingestion, feature stores, data versioning, and",8076.6,True,"[""truncated summary from 29 to 25 words""]",2026-08-30T17:11:24
9,0.7,"[""data pipelines"", ""machine learning"", ""data management""]","This course covers the design and operation of data pipelines for machine learning systems, including schema design, ingestion, feature stores, versioning, and monitoring.",7478.0,True,[],2026-08-30T17:11:33
10,0.7,"[""Data Systems"", ""Machine Learning"", ""Pipeline Design""]","This course focuses on designing and operating data pipelines for machine learning systems, including schema design, ingestion, feature stores, data versioning, and monitoring for data",10555.5,True,"[""truncated summary from 48 to 25 words""]",2026-08-30T17:11:41
11,0.7,"[""machine learning"", ""data pipelines"", ""schema design""]","This course focuses on designing and operating data pipelines that support machine learning systems, covering batch and streaming ingestion, feature stores, and monitoring for drift.",7639.2,True,[],2026-08-30T17:11:52
12,0.7,"[""Data Pipelines"", ""Machine Learning"", ""Ingestion""]","This course covers the design and operation of data pipelines for machine learning systems, focusing on schema design, ingestion, feature stores, and monitoring for data",10491.4,True,"[""truncated summary from 52 to 25 words""]",2026-08-30T17:12:00
13,0.7,"[""data systems"", ""machine learning"", ""pipeline design""]",This course covers the design and operation of data pipelines that feed machine-learning systems.,6354.5,True,[],2026-08-30T17:12:11
14,0.7,"[""data systems"", ""machine learning"", ""pipeline design""]","This course covers the design and operation of data pipelines for machine learning systems, including schema design, ingestion, feature stores, versioning, and monitoring.",7534.3,True,[],2026-08-30T17:12:18
15,0.7,"[""machine learning"", ""data pipelines"", ""pipeline design""]","This course focuses on designing and operating data pipelines that feed machine-learning systems, including schema design, batch and streaming ingestion, feature stores, data versioning, and",8246.1,True,"[""truncated summary from 29 to 25 words""]",2026-08-30T17:12:26
16,0.7,"[""data systems"", ""machine learning"", ""pipelines""]","This course focuses on designing and operating data pipelines for machine learning systems, including schema design, batch and streaming ingestion, feature stores, versioning, and monitoring",12253.8,True,"[""truncated summary from 65 to 25 words""]",2026-08-30T17:12:34
17,0.7,"[""machine learning"", ""data pipelines"", ""pipeline design""]","This course covers the design and operation of data pipelines that feed machine-learning systems: schema design, batch and streaming ingestion, feature stores, data versioning, and",9650.4,True,"[""truncated summary from 66 to 25 words""]",2026-08-30T17:12:47
18,0.7,"[""machine learning"", ""data systems"", ""pipelines""]","This course focuses on the design and operation of data pipelines for machine learning systems, including schema design, ingestion, feature stores, versioning, and monitoring for",10878.7,True,"[""truncated summary from 55 to 25 words""]",2026-08-30T17:12:57
19,0.7,"[""data pipelines"", ""machine learning"", ""pipelining""]","This course focuses on creating and operating data pipelines for machine learning systems, including schema design, ingestion, feature stores, versioning, and monitoring for drift. Students",11106.2,True,"[""truncated summary from 49 to 25 words""]",2026-08-30T17:13:09
20,0.7,"[""data systems"", ""machine learning"", ""pipeline design""]","This course focuses on designing and operating data pipelines for machine learning, covering topics like schema design, ingestion, feature stores, and monitoring.",7563.4,True,[],2026-08-30T17:13:20
1,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7671.5,True,[],2026-08-30T17:13:28
2,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",6975.1,True,[],2026-08-30T17:13:36
3,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",6917.9,True,[],2026-08-30T17:13:44
4,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7106.2,True,[],2026-08-30T17:13:51
5,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",6960.1,True,[],2026-08-30T17:13:59
6,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7250.6,True,[],2026-08-30T17:14:06
7,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7511.0,True,[],2026-08-30T17:14:14
8,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7089.5,True,[],2026-08-30T17:14:22
9,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7180.0,True,[],2026-08-30T17:14:30
10,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7073.0,True,[],2026-08-30T17:14:37
11,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7043.0,True,[],2026-08-30T17:14:45
12,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7116.5,True,[],2026-08-30T17:14:52
13,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7140.4,True,[],2026-08-30T17:15:00
14,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7138.5,True,[],2026-08-30T17:15:08
15,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7403.0,True,[],2026-08-30T17:15:15
16,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7224.5,True,[],2026-08-30T17:15:23
17,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7381.6,True,[],2026-08-30T17:15:31
18,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7103.4,True,[],2026-08-30T17:15:39
19,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7021.3,True,[],2026-08-30T17:15:47
20,0.0,"[""machine learning"", ""data pipelines"", ""data systems""]","This course focuses on designing and operating data pipelines for machine learning systems, covering schema design, ingestion, feature stores, versioning, and monitoring.",7047.5,True,[],2026-08-30T17:15:55
